O2_flux,CH4_flux,CH4_O2_flux_ratio
20000000000.0,1880000000.0,0.094
30000000000.0,2820000000.0,0.094
40000000000.0,3760000000.0,0.094
50000000000.0,4700000000.0,0.094
60000000000.0,5640000000.0,0.094
70000000000.0,6580000000.0,0.094
80000000000.0,7520000000.0,0.094
90000000000.0,8460000000.0,0.094
100000000000.0,9400000000.0,0.094
105000000000.0,9870000000.0,0.094
110000000000.0,10340000000.0,0.094
115000000000.0,10810000000.0,0.094
120000000000.0,11280000000.0,0.094
125000000000.0,11750000000.0,0.094
130000000000.0,12220000000.0,0.094
135000000000.0,12690000000.0,0.094
140000000000.0,13160000000.0,0.094
145000000000.0,13630000000.0,0.094
150000000000.0,14100000000.0,0.094
155000000000.0,14570000000.0,0.094
160000000000.0,15040000000.0,0.094
165000000000.0,15510000000.0,0.094
170000000000.0,15980000000.0,0.094
175000000000.0,16450000000.0,0.094
180000000000.0,16920000000.0,0.094
185000000000.0,17390000000.0,0.094
190000000000.0,17860000000.0,0.094
195000000000.0,18330000000.0,0.094
200000000000.0,18800000000.0,0.094
205000000000.0,19270000000.0,0.094
210000000000.0,19740000000.0,0.094
215000000000.0,20210000000.0,0.094
220000000000.0,20680000000.0,0.094
225000000000.0,21150000000.0,0.094
230000000000.0,21620000000.0,0.094
235000000000.0,22090000000.0,0.094
240000000000.0,22560000000.0,0.094
245000000000.0,23030000000.0,0.094
250000000000.0,23500000000.0,0.094
255000000000.0,23970000000.0,0.094
260000000000.0,24440000000.0,0.094
265000000000.0,24910000000.0,0.094
270000000000.0,25380000000.0,0.094
275000000000.0,25850000000.0,0.094
280000000000.0,26320000000.0,0.094
285000000000.0,26790000000.0,0.094
290000000000.0,27260000000.0,0.094
295000000000.0,27730000000.0,0.094
300000000000.0,28200000000.0,0.094
305000000000.0,28670000000.0,0.094
310000000000.0,29140000000.0,0.094
315000000000.0,29610000000.0,0.094
320000000000.0,30080000000.0,0.094
325000000000.0,30550000000.0,0.094
330000000000.0,31020000000.0,0.094
335000000000.0,31490000000.0,0.094
340000000000.0,31960000000.0,0.094
345000000000.0,32430000000.0,0.094
350000000000.0,32900000000.0,0.094
355000000000.0,33370000000.0,0.094
360000000000.0,33840000000.0,0.094
365000000000.0,34310000000.0,0.094
370000000000.0,34780000000.0,0.094
375000000000.0,35250000000.0,0.094
380000000000.0,35720000000.0,0.094
385000000000.0,36190000000.0,0.094
390000000000.0,36660000000.0,0.094
395000000000.0,37130000000.0,0.094
400000000000.0,37600000000.0,0.094
405000000000.0,38070000000.0,0.094
410000000000.0,38540000000.0,0.094
415000000000.0,39010000000.0,0.094
420000000000.0,39480000000.0,0.094
425000000000.0,39950000000.0,0.094
430000000000.0,40420000000.0,0.094
435000000000.0,40890000000.0,0.094
440000000000.0,41360000000.0,0.094
445000000000.0,41830000000.0,0.094
450000000000.0,42300000000.0,0.094
455000000000.0,42770000000.0,0.094
460000000000.0,43240000000.0,0.094
465000000000.0,43710000000.0,0.094
470000000000.0,44180000000.0,0.094
475000000000.0,44650000000.0,0.094
480000000000.0,45120000000.0,0.094
485000000000.0,45590000000.0,0.094
490000000000.0,46060000000.0,0.094
495000000000.0,46530000000.0,0.094
500000000000.0,47000000000.0,0.094
505000000000.0,47470000000.0,0.094
510000000000.0,47940000000.0,0.094
515000000000.0,48410000000.0,0.094
520000000000.0,48880000000.0,0.094
525000000000.0,49350000000.0,0.094
530000000000.0,49820000000.0,0.094
