alt                      press                    temp                     density                  eddy                     O                        O2                       H2O                      H                        OH                       HO2                      H2O2                     H2                       CO                       HCO                      H2CO                     CH4                      CH3                      C2H6                     NO                       NO2                      HNO                      O3                       HNO3                     N                        C3H2                     C3H3                     CH3C2H                   CH2CCH2                  C3H5                     C2H5CHO                  C3H6                     C3H7                     C3H8                     C2H4OH                   C2H2OH                   C2H5                     C2H4                     CH                       CH3O2                    CH3O                     CH2CO                    CH3CO                    CH3CHO                   C2H2                     CH23                     C2H                      C2                       C2H3                     HCS                      CS2                      CS                       OCS                      S                        HS                       H2S                      SO3                      S2                       HSO                      H2SO4                    SO2                      SO                       HNCO                     NH3                      NH2                      HCN                      NCO                      CN                       N2H3                     N2H4                     S3                       S4                       CO2                      SO4AER                   S8AER                    HCAER                    HCAER2                   SO4AER_AERSOL            S8AER_AERSOL             HCAER_AERSOL             HCAER2_AERSOL            SO4AER_WFALL             S8AER_WFALL              HCAER_WFALL              HCAER2_WFALL             SO4AER_RPAR              S8AER_RPAR               HCAER_RPAR               HCAER2_RPAR              
2.5000000000000000e-01   9.8344794197868934e-01   2.7700000000000000e+02   2.5727200407468290e+19   9.9284138999999908e+04   7.4927828714178914e-16   4.3658404173226282e-09   6.2897190826866969e-03   9.7814824477274362e-16   7.0337226586993641e-18   3.1204563999395871e-11   3.3232078334007163e-09   1.7396219414650985e-02   3.1291561248540985e-03   3.2460744701267398e-13   2.0347031207861488e-10   1.0142295562243170e-04   1.1258258221660742e-16   6.6598298313952068e-09   6.8500361721335467e-13   1.3121298090388070e-12   4.8565255549158329e-14   7.7419532198963519e-16   1.4023509214375498e-16   9.2127928556707272e-25   1.0282035336122666e-21   1.0703134797071475e-23   1.8914656219706267e-21   1.3195872212985490e-20   7.3994976496887741e-23   3.2769670094366742e-20   8.2792999928637359e-21   8.9172761991600624e-19   1.4801206473284280e-14   3.1723537237011956e-21   2.7678319286456044e-21   1.0809117901300054e-19   6.1494396580064818e-18   1.7118526755289946e-35   5.9993251798792734e-14   7.1394865696366801e-15   2.4707141256780106e-14   1.1294749651866989e-11   2.2368535513525868e-20   4.6998232106453944e-17   1.2753815862485436e-22   1.3832794470347963e-30   2.8310579316432001e-31   3.6650664919070966e-26   3.8111761665560339e-23   3.8837359603858993e-22   9.4103736272704867e-21   9.8355956485837085e-09   3.4138963669597695e-15   2.5039485678340258e-13   2.9012922088890447e-10   4.2749325903598286e-22   5.4968416618692122e-13   6.3405141962093863e-12   2.5627158935434854e-15   5.3958725880132613e-11   5.4805885179094036e-14   1.1812745047237954e-18   4.7309733919486244e-18   5.2253812819688006e-20   5.7396131555474243e-09   1.5561532336031333e-31   1.6249249786637212e-26   4.0124661589668175e-22   2.6568929935575333e-25   2.1680231419220083e-16   1.4464815672960271e-13   3.0000000000000001e-03   1.1017203026844987e-13   3.9525243327662266e-12   7.7252099697120484e-20   4.6640212616315705e-23   2.8831994016626489e-01   5.0092307973372110e+00   2.8452609010732377e-02   2.1987825873225772e-05   2.7039539588546410e-04   4.7799531733117473e-04   1.0859673349399537e-06   1.0859673349399537e-06   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
7.5000000000000000e-01   9.2701671902181404e-01   2.7300000000000000e+02   2.4606273255445238e+19   9.9284138999999908e+04   8.2105760222022872e-16   8.9392359945023401e-10   4.7139604853196036e-03   1.3403006673213187e-15   8.0161684488367602e-18   3.3232878883269105e-11   2.9962337578275051e-09   1.7396226798398508e-02   3.1291455533570397e-03   1.8354169264638343e-12   4.6476784401587144e-10   1.0142116452945926e-04   1.7148556622100198e-16   6.6597906792851931e-09   7.6718878772844674e-13   9.7898464507781834e-13   2.7727221957679944e-13   1.6001349106978778e-16   1.1863153278383811e-16   5.4956443213080081e-25   1.0280243933174345e-21   1.2134434902976629e-23   1.8883060344266313e-21   1.3199616390214854e-20   7.3435445792141840e-23   2.8783348009669072e-20   8.2197928688663965e-21   8.4860275968635272e-19   1.4801326167196903e-14   3.0410670975113744e-21   2.6640788292468733e-21   5.4047105066909286e-19   6.1484021275949328e-18   2.9114703857649785e-35   2.3642537573816326e-14   6.4226889478124923e-15   2.8663626216320590e-14   1.0761402157524854e-11   4.1050077192350357e-20   4.7009614735380868e-17   1.6177055874825471e-22   2.1303616949926678e-30   4.3519638247826297e-31   5.3786407397881594e-26   4.6372303375899050e-23   3.1430883220838514e-22   9.4831770040872047e-21   9.8591100002392846e-09   5.2534841093334366e-15   2.6983433771867038e-13   2.9845451860726929e-10   6.7461632583889357e-22   6.5924972886369671e-13   4.7706973486479211e-12   2.9453763735956931e-15   6.0014781720196350e-11   3.8675903711429018e-14   1.4127748298522836e-18   5.0241678054537090e-18   5.3323635629137149e-20   5.7603023400246985e-09   2.7917911666566807e-31   1.5514400108388742e-26   4.0181851916858234e-22   2.1486439526804094e-25   3.2272270422181199e-16   1.7270949910328721e-13   3.0000113366889397e-03   1.1668439823939512e-13   4.1346890846920667e-12   8.2535827061990508e-20   4.9830212223711877e-23   2.5663458946952705e-01   5.0117876359167850e+00   2.9074189999584592e-02   2.2468176007157653e-05   2.8527750502071612e-04   4.9434062101330948e-04   1.1477343648288941e-06   1.1477343648288941e-06   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
1.2500000000000000e+00   8.7304444959453265e-01   2.6900000000000000e+02   2.3518249772560716e+19   9.9284138999999908e+04   4.7772640538498614e-16   5.7490834875150519e-11   3.3708785939616432e-03   1.8707283544245108e-15   6.3287103232054578e-18   1.7651958959121376e-11   1.7602497917527381e-09   1.7396234791971783e-02   3.1291378986457608e-03   8.6118013140333138e-12   1.2339661899338502e-09   1.0141929385979414e-04   1.7213938702373106e-16   6.6596930959222076e-09   7.0219992374075447e-13   1.9163752992889453e-13   1.0697792863849808e-12   7.4755322322883409e-18   7.2877512840794535e-17   2.5935944704125107e-25   1.0291173770957361e-21   1.4168140194216558e-23   1.8810238722593734e-21   1.3207890237258805e-20   7.2318126700780244e-23   1.8094085442775807e-20   8.0699073011391094e-21   7.6834910313658345e-19   1.4801568749624818e-14   2.7779396061807426e-21   2.4521170719711793e-21   3.4999818725650615e-18   6.1443475939252942e-18   3.7132248329873302e-35   5.3508183263215368e-15   1.9433490980772741e-14   2.4920982883664470e-14   9.5831297652464020e-12   7.3795553876722648e-20   4.7034670926042788e-17   1.5325407418328541e-22   3.1220584199155486e-30   6.3645857592242188e-31   8.0589752545126400e-26   5.0988995058967420e-23   2.1823737391050149e-22   9.4923903047363039e-21   9.8923446090027319e-09   7.6332660456930074e-15   2.3327719197163286e-13   3.0939974922513263e-10   4.8837569730101346e-22   7.7585896327949049e-13   2.7330324793965396e-12   2.3247364709350367e-15   5.2304071363666280e-11   4.5386841811471694e-14   1.3675518778417119e-18   5.3137769036862132e-18   2.3519015652123727e-20   5.7819413381551852e-09   4.1265463638487592e-31   7.8291430085960899e-27   4.0320453977645083e-22   1.1520087727620567e-25   4.6904254734972659e-16   2.0375894125696155e-13   3.0000193347556148e-03   1.3000786610063839e-13   4.4823102920823301e-12   9.3520476847073620e-20   5.6462088942935299e-23   2.3024373495089426e-01   5.1929109636822117e+00   3.1486978316018502e-02   2.4332749106614237e-05   3.0442963913241181e-04   5.1193716892467369e-04   1.2142769110372946e-06   1.2142769110372946e-06   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
1.7500000000000000e+00   8.2146596019626694e-01   2.6500000000000000e+02   2.2462837778725495e+19   9.9284138999999908e+04   2.8548399935578081e-16   3.3378417323071322e-12   2.3860225416915911e-03   2.0604535071332530e-15   4.5182938753141644e-18   3.7226830508690346e-12   8.3237095767352230e-10   1.7396242914937167e-02   3.1291332329232095e-03   1.0007730112611938e-11   1.6281200284653063e-09   1.0141733812883646e-04   1.5703480369906664e-16   6.6595397975866818e-09   6.9301316011020483e-13   3.5269234695982584e-14   1.1868726234817525e-12   2.6283344513655678e-19   4.0984152842062014e-17   3.2799868694091845e-23   1.0357136120244091e-21   1.3844943401872567e-23   1.8680950504614880e-21   1.3221575014995279e-20   7.0626938530076024e-23   1.0564228162089335e-20   7.8352514756094290e-21   6.7826347363950140e-19   1.4801878710437094e-14   2.4678239774052015e-21   2.2012681026354416e-21   4.5008707860088792e-18   6.1235551677905342e-18   3.2791087265123533e-35   1.0887509181576883e-15   3.6879898024736541e-14   1.8793637475058439e-14   8.1737454647094198e-12   6.9280176661893632e-20   4.7074857704704611e-17   1.2557547206860727e-22   4.4385127265998830e-30   9.0272202698378542e-31   9.5519122720421438e-26   4.1862701300777303e-23   1.6180095328957695e-22   9.3275513855091284e-21   9.9300504047781788e-09   1.0743423079609581e-14   2.6881897717559303e-13   3.1566748237480462e-10   2.4867167053959602e-22   8.9333485982856344e-13   2.2474875059659629e-12   1.5689030174173770e-15   4.1568910079190016e-11   1.7460056540230861e-13   1.2460302723990564e-18   5.2337532980287538e-18   1.9954388398758267e-20   5.8045892279612949e-09   5.6461133111304354e-31   4.0378438290866059e-27   4.0580230734599298e-22   6.4306917316077071e-26   6.5300054606196303e-16   2.3295723711297153e-13   3.0000248821882998e-03   1.5172202729898831e-13   4.9983390045666902e-12   1.1128110772795175e-19   6.7184899115507790e-23   2.2577411897113037e-01   5.5308806776975032e+00   3.5785355416761880e-02   2.7654481999125938e-05   3.2380596782727479e-04   5.3090286392083838e-04   1.2860442209862684e-06   1.2860442209862684e-06   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
2.2500000000000000e+00   7.7221424831849961e-01   2.6100000000000000e+02   2.1439676402040283e+19   9.9284138999999908e+04   2.9100409354459728e-16   2.6317169247613443e-13   1.6709920289904696e-03   2.2278237802435017e-15   3.5565133358868177e-18   3.4486640358706339e-13   3.7770797796476582e-10   1.7396250801052376e-02   3.1291307079579396e-03   1.0004807449492911e-11   1.6470482373148640e-09   1.0141529096718478e-04   1.5173137334405309e-16   6.6593394509256549e-09   7.1214539870684672e-13   3.3468539445368791e-15   1.1669197485909246e-12   1.4156531182517857e-20   2.2077804587301329e-17   2.0178044511143739e-21   1.0453027904435132e-21   1.3335002564246615e-23   1.8498115866457496e-21   1.3240800868132561e-20   6.8473441988317789e-23   7.7113425104209612e-21   7.5301139499332498e-21   5.9194429141569391e-19   1.4802227318618923e-14   2.1596953619146028e-21   1.9520293575113705e-21   3.5789795633284561e-18   6.0806090836816300e-18   2.8093234380321228e-35   2.1598799537410767e-16   5.0140872555415641e-14   1.3948723053401523e-14   6.7600458046611216e-12   6.0985518308419421e-20   4.7129651791189404e-17   1.0102576214770360e-22   6.1858441900034147e-30   1.2548144377960834e-30   1.1141938523844822e-25   2.9886683799829696e-23   1.3244094303325318e-22   8.9863310375519168e-21   9.9714655092594216e-09   1.4855641966069838e-14   3.4309012619053795e-13   3.1606119854817520e-10   1.7019975129202004e-22   1.0146250494096435e-12   2.5407080272106342e-12   1.0628578970133581e-15   2.9737215485526521e-11   6.8166408310555613e-13   1.1205024750150159e-18   5.0487956923538967e-18   2.2791949832810815e-20   5.8283095782100381e-09   7.4995189415403907e-31   3.5332923965930894e-27   4.0977310928301762e-22   4.4971726565142792e-26   8.8587375080141873e-16   2.6086627669727465e-13   3.0000288326614013e-03   1.8386582797458929e-13   5.6916705887210111e-12   1.3721779367954546e-19   8.2843923945760057e-23   2.3379344268451099e-01   6.0112105966813587e+00   4.2116079053561330e-02   3.2546787268043328e-05   3.4446922133244372e-04   5.5136927343257206e-04   1.3635383080467958e-06   1.3635383080467958e-06   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
2.7500000000000000e+00   7.2519887835334351e-01   2.5675000000000000e+02   2.0467631731348836e+19   9.9284138999999908e+04   4.1395871816211932e-16   2.5321212135580144e-14   1.1306628051210108e-03   2.4279892330350106e-15   3.0354409735705385e-18   2.6268138089946165e-14   1.6731946381193909e-10   1.7396258319393568e-02   3.1291296516834616e-03   9.8621902351163370e-12   1.5206949115284354e-09   1.0141314691495862e-04   1.5253494451289351e-16   6.6590990650548745e-09   7.3015265391136330e-13   2.6534396550983746e-16   1.1265435806019357e-12   1.4525824876680147e-21   1.1512339364430952e-17   3.7025324172680521e-20   1.0568711835431707e-21   1.3056083300234771e-23   1.8267422426441470e-21   1.3265638350913867e-20   6.5960385887372605e-23   7.5956259013566493e-21   7.1648458131051782e-21   5.1387234869432101e-19   1.4802611329916654e-14   1.8725476839191508e-21   1.7200295349985538e-21   2.9776482577526925e-18   6.0180373794093541e-18   2.4295776128358796e-35   4.2552212232796016e-17   6.1785907618374312e-14   1.0396526173696347e-14   5.4426017564555878e-12   6.4357248236870881e-20   4.7198862058034056e-17   8.1375960583952740e-23   8.5482712722169625e-30   1.7286243269349568e-30   1.3200667224420731e-25   2.0220964638043306e-23   1.1476560786038153e-22   8.4946421221183749e-21   1.0015873170125836e-08   2.0391075994672640e-14   4.4639054863732515e-13   3.0846083278155473e-10   1.7049861580137797e-22   1.1400951149856902e-12   2.4053862324857446e-12   7.6786061913659007e-16   2.0709450795172152e-11   9.5745499299296089e-13   1.0103450295623967e-18   4.8491993010206132e-18   2.7342646291042634e-20   5.8531591879810333e-09   9.9978742785124114e-31   4.2469125310101423e-27   4.1524905837200966e-22   4.1795598840477121e-26   1.1867462910496925e-15   2.8783519002205638e-13   3.0000316074626256e-03   2.2850838843677006e-13   6.5671169103682027e-12   1.7284773685820462e-19   1.0435515965168206e-22   2.5140096858297373e-01   6.6213463015273479e+00   5.0646631510796181e-02   3.9139093160330306e-05   3.6678012673916998e-04   5.7363725602874649e-04   1.4471339576403994e-06   1.4471339576403994e-06   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
3.2500000000000000e+00   6.8031157877762383e-01   2.5225000000000000e+02   1.9543287030187008e+19   9.9284138999999908e+04   6.4151110094054450e-16   3.7659805327310613e-15   7.3703754631335952e-04   2.6356261736714238e-15   2.6785267802486415e-18   3.0672788485713108e-15   7.2518868382478135e-11   1.7396265464137865e-02   3.1291297356177430e-03   9.6261017002880238e-12   1.3497216451930455e-09   1.0141090164036409e-04   1.5437948783400282e-16   6.6588237124587780e-09   7.5025384371017725e-13   3.6556174009826076e-17   1.0790662706073844e-12   2.8168770871268634e-22   5.8221536277307293e-18   5.2681098908916562e-19   1.0699924748948460e-21   1.2868150217207036e-23   1.7994760308267034e-21   1.3296117931509342e-20   6.3189085307345902e-23   8.9190131669939159e-21   6.7474351162423833e-21   4.4526016535989217e-19   1.4803032601431187e-14   1.6133246980572325e-21   1.5106794087449855e-21   2.5920455433416250e-18   5.9374612513412248e-18   2.0657106405038978e-35   8.3596300594804903e-18   7.1909953034920394e-14   7.6755337204964614e-15   4.2727902489113133e-12   7.9489014716509436e-20   4.7282522252121461e-17   6.4757576173679871e-23   1.1777409629496292e-29   2.3727042716118349e-30   1.5706330688435711e-25   1.3398898989151015e-23   1.0101994438301895e-22   7.8807029002232452e-21   1.0062528250406910e-08   2.7909271523041500e-14   5.7632601384708256e-13   2.9247248662447496e-10   2.1607158169666906e-22   1.2707958829813953e-12   1.9449754331776237e-12   6.0511511793051359e-16   1.5139731046749530e-11   9.8884266515509727e-13   9.2044534887002129e-19   4.6695444569683444e-18   3.2851171163817369e-20   5.8791865313510733e-09   1.3545870851829180e-30   5.4652828376309398e-27   4.2237228333602490e-22   4.7051879118247949e-26   1.5785809159254789e-15   3.1420766644844406e-13   3.0000334234291663e-03   2.8824115337795919e-13   7.6397881662053514e-12   2.2015754343296350e-19   1.3291800061183780e-22   2.8748042096731796e-01   7.3550035662598310e+00   6.1595708527071441e-02   4.7600405049725387e-05   3.8728517923406982e-04   5.9791964536985806e-04   1.5375733107546666e-06   1.5375733107546666e-06   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
3.7500000000000000e+00   6.3749250500977461e-01   2.4800000000000000e+02   1.8627060498216784e+19   9.9284138999999908e+04   1.0492978653165027e-15   1.9975156732146395e-15   4.8494279676530232e-04   2.8780831706229590e-15   2.4574254331939961e-18   1.2912340886440685e-15   3.0932581419362677e-11   1.7396272283254570e-02   3.1291307621713550e-03   9.3908384700891349e-12   1.1839692958631974e-09   1.0140854841055808e-04   1.5967163234150775e-16   6.6585171825299374e-09   7.6626712459128027e-13   2.1858688348358124e-17   1.0248452517986436e-12   2.1055571319313768e-22   2.8703380942207935e-18   6.9225297006290860e-18   1.0840111385005958e-21   1.2819847985387929e-23   1.7686777522682411e-21   1.3332236797098398e-20   6.0261938956951776e-23   1.1389087247561322e-20   6.2846937373602368e-21   3.8604370380328015e-19   1.4803495524122470e-14   1.3836168789931446e-21   1.3248873291302830e-21   2.3942182829085012e-18   5.8399705313727057e-18   1.7680709200930093e-35   1.6683137552327099e-18   7.9180952393852807e-14   5.6425626942042352e-15   3.2742343877351499e-12   1.1039541969182554e-19   4.7380735201445446e-17   5.1297123281833200e-23   1.6077884753788891e-29   3.2261364197340724e-30   1.8764252328983163e-25   9.0394467814054395e-24   8.7253977699037216e-23   7.1714585931941347e-21   1.0110576486068539e-08   3.7827390344343147e-14   7.1900146150025762e-13   2.6953679077898277e-10   3.2289126748569304e-22   1.4105803457749582e-12   1.5428662850640090e-12   5.2664987359007828e-16   1.1759667211275092e-11   9.7987990746540237e-13   8.5121591240073339e-19   4.5421514759000453e-18   3.9638256355001178e-20   5.9064694880226183e-09   1.8342690020534832e-30   7.4472940552928063e-27   4.3129397213611576e-22   5.8390199562372773e-26   2.0729049221671197e-15   3.4043539891499938e-13   3.0000344254067206e-03   3.6670304420225578e-13   8.9452267547945291e-12   2.8198294221738900e-19   1.7024449083934801e-22   3.3661924256093473e-01   8.2080433145726470e+00   7.5194562499278861e-02   5.8109431940866547e-05   4.0790664418512520e-04   6.2411598575074737e-04   1.6360651595145465e-06   1.6360651595145465e-06   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
4.2500000000000000e+00   5.9672152399412548e-01   2.4400000000000000e+02   1.7721594696279671e+19   9.9284138999999908e+04   1.7533943757134114e-15   2.0648588008106209e-15   3.2262672768527685e-04   3.1453463247641207e-15   2.3029902344636065e-18   1.2105939668464328e-15   1.3004982664672114e-11   1.7396278830780335e-02   3.1291326224819455e-03   9.1355834991007353e-12   1.0301591635236784e-09   1.0140607738792204e-04   1.6920248289794378e-16   6.6581817435787408e-09   7.7020641418770448e-13   2.6503310230340128e-17   9.5333454825370837e-13   3.2490784315221600e-22   1.3801538879209829e-18   6.7000859889927905e-17   1.0984412183541566e-21   1.2832273712006531e-23   1.7349703677121672e-21   1.3374053641359319e-20   5.7250013912495343e-23   1.5035601416821756e-20   5.7824313655113477e-21   3.3530384648937468e-19   1.4804007674602076e-14   1.1821064530719592e-21   1.1611885558014712e-21   2.3264431145592188e-18   5.7260053792127904e-18   1.5213104702201585e-35   3.6242830042384122e-19   8.3054211206130670e-14   4.1360632092667465e-15   2.4471050780162419e-12   1.6489358959236513e-19   4.7493921324099097e-17   4.0516045797561414e-23   2.1747801793070074e-29   4.3454088768682245e-30   2.2385900116945717e-25   6.2757302488089836e-24   7.3006345262247414e-23   6.3915865833812756e-21   1.0158906160990665e-08   5.0825615904346857e-14   8.6452032564561883e-13   2.4157633031224351e-10   5.3767610864259510e-22   1.5607284072892077e-12   1.2570731144571346e-12   5.0095681390319742e-16   9.5788037975244860e-12   9.7764907123244379e-13   8.0103054242145158e-19   4.4924104713839154e-18   4.8407002065367972e-20   5.9351204223529251e-09   2.4900460184302865e-30   1.0409056066881033e-26   4.4219229059512050e-22   7.7081573609903964e-26   2.6913930091190210e-15   3.6658995896021394e-13   3.0000347051105450e-03   4.6512515117929711e-13   1.0450575400873757e-11   3.5934155028734515e-19   2.1694900686206002e-22   3.9325351181560364e-01   9.1231951175778399e+00   9.1165288560583702e-02   7.0451412374832869e-05   4.3005363548914862e-04   6.5239430061036054e-04   1.7433283926047493e-06   1.7433283926047493e-06   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
4.7500000000000000e+00   5.5795258219537547e-01   2.4000000000000000e+02   1.6846394746211459e+19   9.9284138999999908e+04   2.9363818813829164e-15   2.3688022072141118e-15   2.1171807055355506e-04   3.3983409380924370e-15   2.1286092958855545e-18   1.2726547226684199e-15   5.3808464012708030e-12   1.7396285170808278e-02   3.1291352541907478e-03   8.7889726903371146e-12   8.8299809870700924e-10   1.0140347917025289e-04   1.8227448131216673e-16   6.6578188079265104e-09   7.5328912597768862e-13   3.5348581459012487e-17   8.5258263283734808e-13   5.6299555161555362e-22   6.4559520966273725e-19   3.9779044351295200e-16   1.1128460489247569e-21   1.2762458933000903e-23   1.6990101319976243e-21   1.3421633577660351e-20   5.4199706832444363e-23   2.0006237205313939e-20   5.2468891735757938e-21   2.9162990166344044e-19   1.4804579614371679e-14   1.0063485907776670e-21   1.0172010316998206e-21   2.3297606429203220e-18   5.5958053491974215e-18   1.2926616627341198e-35   1.1157895843645451e-19   8.4010913107961212e-14   3.0060195863331587e-15   1.7793519680612249e-12   2.5645658661210289e-19   4.7622672530842832e-17   3.1706877047767016e-23   2.9260518420992580e-29   5.8189077844716729e-30   2.6485829217902568e-25   4.4290281433196685e-24   5.9182733456637657e-23   5.5665062238191379e-21   1.0206138033680781e-08   6.8120269619770198e-14   1.0098003970796837e-12   2.1056871813137301e-10   9.6835966950231335e-22   1.7202731471825151e-12   1.0527120374092507e-12   5.0782676140678897e-16   8.0400372036992851e-12   9.9286512350985271e-13   7.6755101599486495e-19   4.5406206585998644e-18   6.0396967936441999e-20   5.9652475276443383e-09   3.4376674121996315e-30   1.4474525650940171e-26   4.5525230039230309e-22   1.0802491873930924e-25   3.4768220892375797e-15   3.9240208000453889e-13   3.0000343255884294e-03   5.8244771449977880e-13   1.2074310745565077e-11   4.5147699277773076e-19   2.7257489462573171e-22   4.5401885131905217e-01   1.0020128292322198e+01   1.0888344935974625e-01   8.4143788856015094e-05   4.5405421342058802e-04   6.8313236947278432e-04   1.8599917598630654e-06   1.8599917598630654e-06   1.0000000000000001e-05   1.0000000000000001e-05   1.3000000000000000e-07   1.3000000000000000e-07   
